len,supp,dose
99,Fixed-time TL,ID 0
99,Fixed-time TL,ID 0
100,Fixed-time TL,ID 0
99,Fixed-time TL,ID 0
100,Fixed-time TL,ID 0
100,Fixed-time TL,ID 0
100,Fixed-time TL,ID 0
99,Fixed-time TL,ID 0
99,Fixed-time TL,ID 0
99,Fixed-time TL,ID 0
88,Fixed-time TL,ID 1
96,Fixed-time TL,ID 1
98,Fixed-time TL,ID 1
98,Fixed-time TL,ID 1
81,Fixed-time TL,ID 1
95,Fixed-time TL,ID 1
88,Fixed-time TL,ID 1
95,Fixed-time TL,ID 1
81,Fixed-time TL,ID 1
90,Fixed-time TL,ID 1
45,Fixed-time TL,ID 2
63,Fixed-time TL,ID 2
48,Fixed-time TL,ID 2
46,Fixed-time TL,ID 2
61,Fixed-time TL,ID 2
66,Fixed-time TL,ID 2
46,Fixed-time TL,ID 2
55,Fixed-time TL,ID 2
66,Fixed-time TL,ID 2
94,Fixed-time TL,ID 2
16,Fixed-time TL,ID 3
45,Fixed-time TL,ID 3
20,Fixed-time TL,ID 3
40,Fixed-time TL,ID 3
61,Fixed-time TL,ID 3
28,Fixed-time TL,ID 3
48,Fixed-time TL,ID 3
20,Fixed-time TL,ID 3
54,Fixed-time TL,ID 3
26,Fixed-time TL,ID 3
100,Fixed-time TL,ID 4
100,Fixed-time TL,ID 4
99,Fixed-time TL,ID 4
100,Fixed-time TL,ID 4
99,Fixed-time TL,ID 4
100,Fixed-time TL,ID 4
96,Fixed-time TL,ID 4
100,Fixed-time TL,ID 4
96,Fixed-time TL,ID 4
100,Fixed-time TL,ID 4
93,Fixed-time TL,ID 5
99,Fixed-time TL,ID 5
91,Fixed-time TL,ID 5
85,Fixed-time TL,ID 5
100,Fixed-time TL,ID 5
96,Fixed-time TL,ID 5
100,Fixed-time TL,ID 5
100,Fixed-time TL,ID 5
85,Fixed-time TL,ID 5
100,Fixed-time TL,ID 5
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 0
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 1
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 2
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 3
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 4
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
,Smart Traffic Light,ID 5
